772,1,2,2,1
2357,1,2,3,4
2420,1,2,3,4
2431,1,2,2,1
2445,1,2,2,1
2456,1,2,2,1
2877,1,2,3,4
3001,1,2,2,1
3002,1,2,2,1
3003,1,1,1,1
3004,1,2,2,1
3005,1,1,1,1
3007,1,2,2,1
3008,1,2,2,1
3009,1,2,2,1
3010,1,2,2,1
3020,1,2,2,1
3021,1,2,2,1
3022,1,1,1,1
3023,1,2,2,1
3024,1,1,1,1
3029,1,2,2,1
3030,1,2,2,1
3031,1,1,1,1
3032,1,2,2,1
3033,1,2,2,1
3034,1,2,2,1
3035,1,2,2,1
3036,1,2,2,1
3039,1,2,3,4
3040b,1,2,3,4
3062b,1,1,1,1
3068b,1,1,1,1
3069b,1,2,2,1
3070,1,1,1,1
3070b,1,1,1,1
3245a,1,2,2,1
3298,1,2,3,4
3460,1,2,2,1
3622,1,2,2,1
3623,1,2,2,1
3660,1,2,3,4
3665,1,2,3,4
3666,1,2,2,1
3710,1,2,2,1
3794a,1,2,2,1
3795,1,2,2,1
3832,1,2,2,1
3941,1,1,1,1
3958,1,1,1,1
4032a,1,1,1,1
4073,1,1,1,1
4150,1,1,1,1
4162,1,2,2,1
4282,1,2,2,1
4286,1,2,3,4
4460b,1,2,3,4
4477,1,2,2,1
6112,1,2,2,1
6141,1,1,1,1
6231,1,2,3,4
6636,1,2,2,1
15571,1,2,3,4
22886,1,2,2,1
37352,1,2,3,4
41539,1,1,1,1
54200,1,2,3,4
59900,1,1,1,1
60479,1,2,2,1
60481,1,2,3,4
63864,1,2,2,1
85984,1,2,3,4
87087,1,2,3,4
87580,1,1,1,1